,Name,totalRevenue,costofGoodsAndServicesSold,researchAndDevelopment,totalAssets,totalLiabilities,inventory,commonStockSharesOutstanding
8/31/2019,ACN,11.056 B,7.621 B,0,29.790 B,15.381 B,0,637.049 M
11/30/2019,ACN,11.359 B,7.711 B,0,33.171 B,18.004 B,0,635.722 M
2/29/2020,ACN,11.142 B,7.782 B,0,33.503 B,18.029 B,0,637.486 M
5/31/2020,ACN,10.991 B,7.463 B,0,35.057 B,19.043 B,0,636.146 M
8/31/2020,ACN,10.835 B,7.395 B,0,37.079 B,20.078 B,0,635.888 M
11/30/2020,ACN,11.762 B,7.864 B,0,38.268 B,20.362 B,0,634.271 M
2/28/2021,ACN,12.088 B,8.493 B,0,39.985 B,21.677 B,0,635.994 M
5/31/2021,ACN,13.264 B,8.859 B,0,42.125 B,22.782 B,0,635.204 M
8/31/2021,ACN,13.419 B,8.953 B,0,43.176 B,23.646 B,0,633.546 M
11/30/2021,ACN,14.965 B,10.048 B,0,43.675 B,23.322 B,0,632.281 M
2/28/2022,ACN,15.047 B,10.523 B,0,44.318 B,23.758 B,0,633.957 M
5/31/2022,ACN,16.159 B,10.844 B,0,46.095 B,24.706 B,0,632.749 M
8/31/2022,ACN,15.424 B,10.478 B,0,47.263 B,25.157 B,0,632.095 M
11/30/2022,ACN,15.748 B,10.562 B,0,47.116 B,24.141 B,0,630.137 M
2/28/2023,ACN,15.814 B,10.979 B,0,47.727 B,23.965 B,0,630.845 M
3/31/2018,TXN,3.789 B,1.342 B,385 M,17.507 B,6.865 B,2.032 B,983 M
6/30/2018,TXN,4.017 B,1.398 B,384 M,18.527 B,7.893 B,2.090 B,977 M
9/30/2018,TXN,4.261 B,1.457 B,390 M,18.573 B,8.057 B,2.116 B,969 M
12/31/2018,TXN,3.717 B,1.310 B,400 M,17.137 B,8.143 B,2.217 B,952 M
3/31/2019,TXN,3.594 B,1.333 B,389 M,17.443 B,8.924 B,2.131 B,939 M
6/30/2019,TXN,3.668 B,1.308 B,390 M,17.384 B,8.898 B,2.079 B,937 M
9/30/2019,TXN,3.771 B,1.325 B,379 M,17.992 B,9.007 B,2.040 B,935 M
12/31/2019,TXN,3.350 B,1.253 B,386 M,18.018 B,9.111 B,2.001 B,933 M
3/31/2020,TXN,3.329 B,1.241 B,377 M,17.283 B,9.549 B,2.003 B,931 M
6/30/2020,TXN,3.239 B,1.157 B,379 M,17.445 B,9.801 B,2.136 B,916 M
9/30/2020,TXN,3.817 B,1.364 B,386 M,18.207 B,9.882 B,2.072 B,917 M
12/31/2020,TXN,4.076 B,1.430 B,388 M,19.351 B,10.164 B,1.955 B,921 M
3/31/2021,TXN,4.289 B,1.492 B,386 M,19.639 B,9.473 B,1.890 B,922 M
6/30/2021,TXN,4.580 B,1.503 B,391 M,20.603 B,9.450 B,1.856 B,923 M
9/30/2021,TXN,4.643 B,1.491 B,388 M,23.273 B,11.122 B,1.863 B,923 M
12/31/2021,TXN,4.832 B,1.482 B,389 M,24.676 B,11.343 B,1.910 B,923 M
3/31/2022,TXN,4.905 B,1.463 B,391 M,25.276 B,11.259 B,2.060 B,923 M
6/30/2022,TXN,5.212 B,1.587 B,414 M,24.723 B,10.631 B,2.199 B,920 M
9/30/2022,TXN,5.241 B,1.624 B,431 M,26.057 B,11.550 B,2.404 B,913 M
12/31/2022,TXN,4.670 B,1.583 B,434 M,27.207 B,12.630 B,2.757 B,907 M
5/31/2018,ORCL,39.383 B,754 M,1.543 B,137.851 B,91.479 B,398 M,3.997 B
8/31/2018,ORCL,8.630 B,1.953 B,1.564 B,128.358 B,90.291 B,0,3.811 B
11/30/2018,ORCL,9.021 B,2.001 B,1.475 B,118.318 B,87.746 B,0,3.632 B
2/28/2019,ORCL,9.092 B,1.976 B,1.426 B,109.438 B,85.724 B,0,3.443 B
5/31/2019,ORCL,39.506 B,2.063 B,1.562 B,108.709 B,86.924 B,320 M,3.359 B
8/31/2019,ORCL,8.673 B,1.957 B,1.557 B,106.229 B,87.796 B,0,3.296 B
11/30/2019,ORCL,9.127 B,2.048 B,1.531 B,98.443 B,82.880 B,0,3.214 B
2/29/2020,ORCL,9.297 B,1.964 B,1.500 B,96.704 B,82.469 B,0,3.161 B
5/31/2020,ORCL,39.068 B,1.969 B,1.479 B,115.438 B,103.364 B,211 M,3.067 B
8/31/2020,ORCL,8.703 B,1.880 B,1.589 B,113.546 B,104.055 B,0,3.014 B
