,Name,totalRevenue,costofGoodsAndServicesSold,researchAndDevelopment,totalAssets,totalLiabilities,inventory,commonStockSharesOutstanding
9/30/2021,FSLY,86.735 M,41.244 M,32.528 M,2.139 B,1.123 B,0,116.475 M
12/31/2021,FSLY,97.717 M,47.944 M,34.997 M,2.159 B,1.145 B,0,118.811 M
3/31/2022,FSLY,102.382 M,53.915 M,40.437 M,2.134 B,1.158 B,0,119.673 M
6/30/2022,FSLY,102.518 M,56.466 M,38.717 M,1.933 B,939.057 M,0,121.242 M
9/30/2022,FSLY,108.504 M,55.825 M,38.957 M,1.907 B,939.619 M,0,122.339 M
12/31/2022,FSLY,119.321 M,56.738 M,37.197 M,1.896 B,940.955 M,0,124.336 M
3/31/2018,SQ,668.603 M,21.282 M,105.095 M,2.380 B,1.570 B,20.899 M,395.948 M
6/30/2018,SQ,814.938 M,499.122 M,114.800 M,3.555 B,2.473 B,22.041 M,403.301 M
9/30/2018,SQ,882.108 M,529.448 M,135.773 M,3.973 B,2.851 B,25.294 M,409.690 M
12/31/2018,SQ,932.528 M,552.474 M,141.811 M,3.281 B,2.161 B,28.627 M,413.984 M
3/31/2019,SQ,959.359 M,562.605 M,154.350 M,4.403 B,3.281 B,26.679 M,419.289 M
6/30/2019,SQ,1.174 B,708.393 M,174.201 M,4.654 B,3.470 B,29.354 M,423.305 M
9/30/2019,SQ,1.266 B,766.437 M,168.771 M,4.001 B,2.751 B,44.690 M,427.124 M
12/31/2019,SQ,1.313 B,786.380 M,176.843 M,4.551 B,2.836 B,47.683 M,430.279 M
3/31/2020,SQ,1.381 B,842.608 M,194.986 M,6.004 B,4.196 B,54.719 M,434.940 M
6/30/2020,SQ,1.924 B,1.327 B,207.730 M,7.812 B,5.886 B,55.422 M,440.117 M
9/30/2020,SQ,3.034 B,2.239 B,227.550 M,8.114 B,6.051 B,70.422 M,444.458 M
12/31/2020,SQ,3.159 B,2.355 B,250.670 M,9.870 B,7.188 B,61.129 M,452.939 M
3/31/2021,SQ,5.057 B,4.300 M,310.141 M,11.349 B,9.034 B,63.825 M,454.973 M
6/30/2021,SQ,4.681 B,5.405 M,324.059 M,13.816 B,11.079 B,58.786 M,455.431 M
9/30/2021,SQ,3.845 B,6.351 M,360.729 M,13.909 B,10.905 B,73.413 M,460.654 M
12/31/2021,SQ,4.079 B,6.589 M,391.343 M,15.026 B,11.713 B,77.058 M,462.611 M
3/31/2022,SQ,3.961 B,15.469 M,484.761 M,29.127 B,11.677 B,72.340 M,541.435 M
6/30/2022,SQ,4.404 B,17.899 M,524.827 M,28.885 B,11.994 B,78.737 M,581.350 M
9/30/2022,SQ,4.516 B,18.506 M,548.037 M,29.121 B,12.591 B,102.962 M,592.672 M
12/31/2022,SQ,4.651 B,18.320 M,604.524 M,31.364 B,14.113 B,97.703 M,599.094 M
3/31/2018,TWLO,129.116 M,59.582 M,37.576 M,482.795 M,120.255 M,0,95.692 M
6/30/2018,TWLO,147.754 M,67.940 M,39.811 M,985.848 M,556.177 M,0,97.339 M
9/30/2018,TWLO,168.895 M,77.031 M,42.340 M,1.004 B,569.444 M,0,98.727 M
12/31/2018,TWLO,204.302 M,96.288 M,51.631 M,1.029 B,590.475 M,0,100.080 M
3/31/2019,TWLO,233.139 M,107.089 M,77.855 M,4.120 B,792.560 M,0,126.078 M
6/30/2019,TWLO,275.039 M,125.024 M,98.783 M,5.109 B,812.245 M,0,135.762 M
9/30/2019,TWLO,295.066 M,136.904 M,104.481 M,5.110 B,825.682 M,0,137.073 M
12/31/2019,TWLO,331.224 M,156.534 M,110.236 M,5.151 B,871.105 M,0,138.413 M
3/31/2020,TWLO,364.868 M,171.333 M,114.339 M,5.166 B,909.740 M,0,139.232 M
6/30/2020,TWLO,400.849 M,191.718 M,120.701 M,5.291 B,968.979 M,0,141.619 M
9/30/2020,TWLO,447.969 M,217.095 M,136.652 M,6.724 B,961.434 M,0,147.501 M
12/31/2020,TWLO,548.090 M,265.969 M,158.856 M,9.487 B,1.035 B,0,164.048 M
3/31/2021,TWLO,589.988 M,291.684 M,174.800 M,12.242 B,1.995 B,0,167.160 M
6/30/2021,TWLO,668.931 M,337.684 M,181.280 M,12.534 B,1.839 B,0,173.407 M
9/30/2021,TWLO,740.176 M,375.561 M,209.890 M,12.977 B,1.895 B,0,177.231 M
12/31/2021,TWLO,842.744 M,446.197 M,223.249 M,12.999 B,1.967 B,0,180.468 M
3/31/2022,TWLO,875.363 M,450.292 M,240.611 M,12.891 B,1.973 B,0,180.899 M
6/30/2022,TWLO,943.354 M,498.065 M,279.641 M,12.869 B,2.027 B,0,182.348 M
9/30/2022,TWLO,983.030 M,520.955 M,284.735 M,12.613 B,2.082 B,0,183.693 M
12/31/2022,TWLO,1.025 B,543.432 M,274.094 M,12.564 B,2.005 B,0,185.976 M
4/30/2018,ZS,49.163 M,2.600 M,9.907 M,405.538 M,162.346 M,0,119.819 M
7/31/2018,ZS,56.174 M,2.500 M,11.480 M,447.781 M,207.545 M,0,119.764 M
10/31/2018,ZS,63.298 M,3 M,13.186 M,458.094 M,205.916 M,0,122.106 M
1/31/2019,ZS,74.302 M,3.400 M,15.071 M,518.113 M,241.040 M,0,123.987 M
4/30/2019,ZS,79.128 M,3.600 M,16.499 M,537.536 M,250.957 M,0,125.552 M
7/31/2019,ZS,86.108 M,3.800 M,17.213 M,604.162 M,295.604 M,0,127.253 M
10/31/2019,ZS,93.590 M,19.558 M,20.271 M,636.228 M,322.176 M,0,127.926 M
1/31/2020,ZS,101.268 M,20.238 M,20.706 M,676.425 M,357.261 M,0,129.266 M
4/30/2020,ZS,110.524 M,24.579 M,24.117 M,735.964 M,401.170 M,0,130.347 M
7/31/2020,ZS,125.887 M,31.358 M,32.785 M,1.833 B,1.349 B,0,132.817 M
10/31/2020,ZS,142.578 M,31.727 M,35.770 M,1.853 B,1.361 B,0,134.163 M
1/31/2021,ZS,157.044 M,34.135 M,41.751 M,1.969 B,1.467 B,0,135.858 M
4/30/2021,ZS,176.404 M,38.977 M,40.952 M,2.062 B,1.554 B,0,136.895 M
7/31/2021,ZS,197.074 M,45.478 M,56.180 M,2.258 B,1.729 B,0,138.662 M
10/31/2021,ZS,230.517 M,52.169 M,65.216 M,2.271 B,1.741 B,0,140.032 M
1/31/2022,ZS,255.563 M,57.783 M,69.195 M,2.422 B,1.883 B,0,141.063 M
4/30/2022,ZS,286.807 M,64.022 M,76.578 M,2.525 B,1.993 B,0,141.847 M
7/31/2022,ZS,318.059 M,68.308 M,78.150 M,2.833 B,2.259 B,0,143.038 M
10/31/2022,ZS,355.548 M,76.697 M,74.946 M,2.836 B,2.404 B,0,144.210 M
1/31/2023,ZS,387.598 M,87.604 M,85.765 M,3.040 B,2.511 B,0,145.087 M
4/30/2018,CRWD,47.289 M,19.394 M,17.615 M,,,,
7/31/2018,CRWD,55.701 M,18.575 M,18.963 M,,,,
10/31/2018,CRWD,66.379 M,22.274 M,25.968 M,,,,
1/31/2019,CRWD,80.455 M,26.995 M,22.005 M,,,,
4/30/2019,CRWD,98.376 M,29.273 M,23.875 M,457.361 M,384.626 M,0,48.127 M
7/31/2019,CRWD,110.244 M,31.582 M,31.630 M,1.172 B,443.489 M,0,225.893 M
10/31/2019,CRWD,127.187 M,37.355 M,35.992 M,1.256 B,539.012 M,0,205.479 M
1/31/2020,CRWD,154.164 M,43.416 M,38.691 M,1.405 B,662.299 M,0,212.948 M
4/30/2020,CRWD,178.835 M,46.895 M,40.578 M,1.519 B,766.243 M,0,213.129 M
7/31/2020,CRWD,199.797 M,54.391 M,50.483 M,1.617 B,824.937 M,0,216.695 M
10/31/2020,CRWD,233.367 M,61.527 M,57.539 M,1.750 B,934.724 M,0,219.401 M
1/31/2021,CRWD,265.165 M,66.732 M,66.070 M,2.733 B,1.861 B,0,221.728 M
4/30/2021,CRWD,298.394 M,78.505 M,78.180 M,2.881 B,2.028 B,0,224.153 M
7/31/2021,CRWD,333.194 M,90.432 M,90.455 M,3.136 B,2.225 B,0,226.362 M
10/31/2021,CRWD,375.448 M,101.664 M,97.630 M,3.300 B,2.340 B,0,228.293 M
1/31/2022,CRWD,427.267 M,112.620 M,105.018 M,3.618 B,2.581 B,0,229.692 M
4/30/2022,CRWD,481.536 M,126.832 M,123.399 M,3.836 B,2.719 B,0,231.179 M
7/31/2022,CRWD,528.818 M,140.567 M,137.864 M,4.154 B,2.911 B,0,232.554 M
10/31/2022,CRWD,590.793 M,158.228 M,155.256 M,4.469 B,3.132 B,0,233.785 M
1/31/2023,CRWD,668.531 M,175.604 M,191.845 M,5.027 B,3.539 B,0,235.050 M
4/30/2018,MDB,48.222 M,13.749 M,18.645 M,400.227 M,227.720 M,0,50.597 M
7/31/2018,MDB,56.196 M,16.494 M,21.430 M,663.930 M,455.306 M,0,52.085 M
10/31/2018,MDB,64.985 M,17.758 M,23.179 M,670.670 M,473.425 M,0,53.496 M
1/31/2019,MDB,86.029 M,25.567 M,26.600 M,733.476 M,468.910 M,0,54.322 M
4/30/2019,MDB,84.699 M,28.172 M,30.868 M,734.241 M,486.373 M,0,55.276 M
7/31/2019,MDB,94.428 M,30.202 M,37.140 M,741.597 M,502.254 M,0,56.239 M
10/31/2019,MDB,104.628 M,32.191 M,39.387 M,734.985 M,516.150 M,0,56.679 M
1/31/2020,MDB,102.460 M,34.791 M,41.638 M,1.329 B,1.246 B,0,57.383 M
4/30/2020,MDB,116.534 M,37.677 M,45.632 M,1.337 B,1.274 B,0,57.997 M
7/31/2020,MDB,124.331 M,42.304 M,49.255 M,1.355 B,1.307 B,0,58.858 M
10/31/2020,MDB,136.678 M,46.110 M,54.363 M,1.356 B,1.334 B,0,60.156 M
1/31/2021,MDB,156.144 M,50.985 M,55.911 M,1.407 B,1.408 B,0,60.898 M
4/30/2021,MDB,177.675 M,54.528 M,64.751 M,1.378 B,1.646 B,0,61.362 M
7/31/2021,MDB,196.191 M,60.702 M,72.396 M,2.281 B,1.608 B,0,63.427 M
10/31/2021,MDB,224.296 M,68.464 M,82.256 M,2.352 B,1.689 B,0,66.386 M
1/31/2022,MDB,262.973 M,75.798 M,89.417 M,2.450 B,1.783 B,0,67.444 M
4/30/2022,MDB,282.413 M,78.215 M,96.372 M,2.435 B,1.762 B,0,68.061 M
7/31/2022,MDB,301.231 M,88.277 M,108.037 M,2.452 B,1.783 B,0,68.687 M
10/31/2022,MDB,331.124 M,93.652 M,106.392 M,2.467 B,1.783 B,0,69.256 M
1/31/2023,MDB,356.080 M,89.160 M,110.891 M,2.589 B,1.849 B,0,69.535 M
4/30/2018,OKTA,83.621 M,24.107 M,19.929 M,726.904 M,477.287 M,0,106.492 M
7/31/2018,OKTA,94.586 M,28.228 M,24.829 M,763.917 M,518.772 M,0,108.994 M
10/31/2018,OKTA,105.576 M,29.700 M,27.596 M,796.709 M,552.206 M,0,110.346 M
1/31/2019,OKTA,100.399 M,31.386 M,30.031 M,984.313 M,731.936 M,0,112.152 M
4/30/2019,OKTA,120.982 M,35.095 M,34.032 M,998.542 M,759.098 M,0,114.139 M
7/31/2019,OKTA,136.876 M,38.780 M,40.045 M,1.027 B,776.085 M,0,116.748 M
10/31/2019,OKTA,131.439 M,40.824 M,41.832 M,1.871 B,1.472 B,0,121.131 M
1/31/2020,OKTA,157.681 M,44.683 M,43.360 M,1.955 B,1.550 B,0,122.638 M
4/30/2020,OKTA,172.095 M,48.486 M,48.494 M,2.037 B,1.624 B,0,123.494 M
7/31/2020,OKTA,181.341 M,51.147 M,53.866 M,3.115 B,2.430 B,0,126.319 M
10/31/2020,OKTA,194.922 M,56.908 M,58.150 M,3.170 B,2.490 B,0,128.813 M
1/31/2021,OKTA,212.143 M,61.459 M,62.490 M,3.299 B,2.605 B,0,130.182 M
4/30/2021,OKTA,228.110 M,66.123 M,68.863 M,3.430 B,2.748 B,0,131.777 M
7/31/2021,OKTA,292.585 M,101.106 M,122.407 M,8.932 B,2.890 B,0,151.357 M
10/31/2021,OKTA,327.536 M,109.674 M,130.535 M,8.997 B,3.012 B,0,153.756 M
1/31/2022,OKTA,359.609 M,119.097 M,147.195 M,9.206 B,3.284 B,0,154.798 M
4/30/2022,OKTA,412.075 M,131.165 M,161.651 M,9.046 B,3.573 B,0,155.875 M
7/31/2022,OKTA,448.892 M,137.694 M,155.836 M,9.074 B,3.621 B,0,157.400 M
10/31/2022,OKTA,478.237 M,137.653 M,148.484 M,9.094 B,3.686 B,0,158.708 M
1/31/2023,OKTA,507.796 M,139.488 M,154.029 M,9.307 B,3.841 B,0,160.060 M
3/31/2018,ROKU,136.525 M,73.464 M,34.126 M,360.480 M,167.004 M,38.062 M,99.506 M
6/30/2018,ROKU,156.753 M,79.058 M,40.196 M,381.668 M,169.903 M,39.431 M,102.652 M
9/30/2018,ROKU,173.269 M,94.388 M,45.370 M,428.358 M,206.482 M,68.803 M,106.884 M
12/31/2018,ROKU,275.739 M,163.448 M,51 M,464.997 M,220.346 M,35.585 M,109.770 M
3/31/2019,ROKU,206.662 M,105.771 M,55.738 M,628.132 M,267.198 M,33.398 M,110.896 M
6/30/2019,ROKU,250.101 M,135.892 M,61.994 M,820.825 M,360.143 M,39.443 M,114.572 M
9/30/2019,ROKU,261.592 M,142.451 M,68.487 M,897.305 M,433.528 M,73.531 M,116.681 M
12/31/2019,ROKU,411.230 M,249.583 M,78.792 M,1.470 B,771.808 M,49.714 M,119.897 M
3/31/2020,ROKU,321.552 M,179.665 M,88.278 M,1.542 B,865.796 M,43.978 M,120.180 M
6/30/2020,ROKU,356.972 M,209.237 M,84.387 M,1.846 B,830.869 M,45.001 M,122.614 M
9/30/2020,ROKU,451.947 M,236.839 M,88.388 M,2.104 B,887.635 M,62.609 M,125.687 M
12/31/2020,ROKU,649.886 M,344.428 M,94.731 M,2.271 B,942.527 M,53.895 M,128.004 M
3/31/2021,ROKU,574.183 M,247.412 M,101.581 M,3.487 B,1.046 B,41.246 M,129.674 M
6/30/2021,ROKU,645.319 M,306.853 M,113.276 M,3.639 B,1.078 B,47.996 M,132.705 M
9/30/2021,ROKU,679.953 M,316.034 M,120.307 M,3.912 B,1.229 B,75.945 M,133.685 M
12/31/2021,ROKU,864.129 M,485.685 M,126.438 M,4.082 B,1.316 B,50.276 M,135.137 M
3/31/2022,ROKU,733.699 M,368.892 M,163.998 M,4.226 B,1.413 B,72.863 M,135.539 M
6/30/2022,ROKU,764.406 M,409.257 M,196.637 M,4.314 B,1.518 B,76.077 M,136.849 M
9/30/2022,ROKU,761.373 M,404.586 M,207.608 M,4.392 B,1.614 B,119.252 M,138.571 M
12/31/2022,ROKU,863.134 M,502.677 M,220.670 M,4.413 B,1.766 B,106.747 M,140.027 M
9/30/2019,U,130.943 M,26.451 M,64.034 M,,,,
12/31/2019,U,158.071 M,29.995 M,73.096 M,,,,
3/31/2020,U,166.994 M,31.868 M,81.751 M,,,,
6/30/2020,U,184.331 M,40.432 M,85.108 M,,,,
9/30/2020,U,200.177 M,47.540 M,116.648 M,2.606 B,545.790 M,0,270.967 M
12/31/2020,U,220.873 M,52.507 M,120.008 M,2.671 B,634.082 M,0,273.537 M
3/31/2021,U,234.750 M,58.734 M,154.015 M,2.650 B,633.230 M,0,279.170 M
6/30/2021,U,273.170 M,57.725 M,154.216 M,2.662 B,691.949 M,0,282.177 M
9/30/2021,U,286.421 M,63.517 M,178.413 M,2.678 B,711.175 M,0,285.711 M
12/31/2021,U,315.379 M,73.654 M,209.066 M,4.841 B,2.447 B,0,292.592 M
3/31/2022,U,319.015 M,93.833 M,221.040 M,4.947 B,2.585 B,0,295.847 M
6/30/2022,U,295.920 M,96.836 M,215.960 M,4.840 B,2.558 B,0,298.028 M
9/30/2022,U,321.746 M,111.903 M,248.380 M,4.727 B,2.524 B,0,300.588 M
12/31/2022,U,447.160 M,139.928 M,274.111 M,7.834 B,4.080 B,0,374.243 M
