End,Name,totalRevenue,totalAssets,totalLiabilities,commonStockSharesOutstanding,GDP,Interest,Inflation,SP,Cons_Sent,Fin_Stress,Cash_On_Hand,Unemployment_Rate,Recession_probability,Corporate_Profits,Volume,st_dev,open,close,% delta,class
2019-09-30 00:00:00-04:00,MTCH,0.087394296,0.000722979,0.017306245,0.003018814,0.012193754,-0.207234375,0.065028225,0.026201025,-0.047715736,-0.558080313,-0.053293437,0,0.210526316,-0.01826894,10897585.71,6.058048764,68.59999847,74.09999847,0.080174929,1
2019-12-31 00:00:00-04:00,MTCH,0.010478436,0.007224564,0.005362426,0.002488358,0.008113241,0.201320047,0.071595161,0.042229998,0.036247335,-0.29787234,0.294675905,0,0.956521739,0.050617102,9945515.385,4.637761442,77.01000214,87.12999725,0.131411438,1
2020-03-31 00:00:00-04:00,MTCH,-0.004614679,0.008368201,0.105389001,0.002789499,-0.00776264,-0.473298921,0.00114732,-0.008722703,-0.00617284,-6.964646465,0.093161158,0.055555556,36.16666667,-0.076039177,13542830.77,13.45787683,83.37999725,68.11000061,-0.183137409,0
2020-06-30 00:00:00-04:00,MTCH,0.019844228,-0.723177238,-0.327287854,1.162649253,-0.08827645,-1.422867035,-0.228725763,-0.040636545,-0.232919255,0.116215072,0.408043207,2.421052632,-0.002092676,-0.056562143,11748861.54,10.13196104,66.98000336,100.3899994,0.498805529,1
2020-09-30 00:00:00-04:00,MTCH,0.151804843,0.143468951,0.017313876,0.421126354,0.087881073,2.738066762,0.054409797,0.132394626,0.021592443,-1.080504457,-0.077241253,-0.323076923,-0.999400839,0.300589008,17105561.54,8.483120467,100,112.3799973,0.123799973,1
2020-12-31 00:00:00-04:00,MTCH,0.018189349,0.14082397,0.084609774,0.025254656,0.01602243,-0.32651474,-0.202209278,0.070687354,0.054161162,1.191990577,0.10929026,-0.227272727,6,-0.032118814,10595661.54,15.63398296,112.9899979,151.7899933,0.343393187,1
2021-03-31 00:00:00-04:00,MTCH,0.02487692,0.0554826,-0.00717328,0.010298172,0.028065066,-0.385739032,-0.113179196,0.087553805,0.005012531,2.10424503,0.066697113,-0.088235294,-1,0.123124408,13189884.62,8.917170662,153.3099976,143.8699951,-0.061574604,0
2021-06-30 00:00:00-04:00,MTCH,0.060136726,0.379160187,0.033190336,0.024329648,0.032853318,-1.32940312,0.573156417,0.082241037,0.067331671,0.567768738,0.025802752,-0.048387097,inf,0.092368624,9818046.154,6.842147449,142.2299957,162.6300049,0.143429725,1
2021-09-30 00:00:00-04:00,MTCH,0.132919351,0.103743798,0.084353147,0.002262762,0.021846116,-3.817313812,-0.023703672,0.056897957,-0.126168224,-0.124654963,0.007609465,-0.13559322,0.105263158,0.001502477,19518407.69,11.46184106,161.3500061,157.5399933,-0.023613342,0
2021-12-31 00:00:00-04:00,MTCH,0.005281635,0.03453208,0.06146715,0.022327692,0.033914512,-1.81668933,0.334000373,0.040808111,-0.065508021,-0.119828456,-0.038007781,-0.176470588,-0.571428571,-0.007293597,12925407.69,14.58323717,157.8699951,125.2699966,-0.206499015,0
